iter	Logloss
0	0.6686663123
1	0.639518149
2	0.6156798179
3	0.5870404317
4	0.5717443777
5	0.5522465833
6	0.5291178456
7	0.5123340308
8	0.4907675533
9	0.4729083685
10	0.4564515681
11	0.4434240087
12	0.4348745179
13	0.4174656575
14	0.4042087255
15	0.3983075269
16	0.3840946154
17	0.3720883221
18	0.3583362192
19	0.3500396283
20	0.3391734539
21	0.3298857096
22	0.3241066961
23	0.3172568185
24	0.3076131002
25	0.3010877624
26	0.2931648546
27	0.2827667587
28	0.2778045457
29	0.270734124
30	0.2653581738
31	0.2603254666
32	0.2531886471
33	0.2465156603
34	0.2422790864
35	0.2356505048
36	0.2303022123
37	0.224705325
38	0.2169689691
39	0.2136380027
40	0.208554892
41	0.2049005775
42	0.1992651498
43	0.1950352916
44	0.1902760728
45	0.1865227291
46	0.181866654
47	0.1765240716
48	0.173346434
49	0.1704500002
50	0.1676051701
51	0.1621054728
52	0.1593490929
53	0.1557211365
54	0.1519209024
55	0.1486482533
56	0.1454712703
57	0.1431320379
58	0.1408614172
59	0.1373561291
60	0.1347198587
61	0.1318146027
62	0.1283034776
63	0.1258766534
64	0.1236276739
65	0.1214163648
66	0.1190810933
67	0.1175350785
68	0.1154659591
69	0.1139410456
70	0.1122514581
71	0.1104970709
72	0.1085881984
73	0.1065885603
74	0.1050188502
75	0.1024605048
76	0.1004259265
77	0.09810525099
78	0.09634688969
79	0.09462574812
80	0.09213998476
81	0.09143045415
82	0.08978362616
83	0.08798955488
84	0.08637968491
85	0.08506077778
86	0.0839113115
87	0.08208825306
88	0.08089679625
89	0.08004031233
90	0.07879326446
91	0.07730679443
92	0.07594630893
93	0.07399992318
94	0.07215175565
95	0.07073875543
96	0.06887106437
97	0.06736809109
98	0.06642645402
99	0.0652151151
100	0.06391011724
101	0.06278000372
102	0.06209288411
103	0.06119591744
104	0.06030957623
105	0.05945613633
106	0.05828142408
107	0.0570989437
108	0.05604945747
109	0.05518982899
110	0.05426413771
111	0.05308568403
112	0.05210158925
113	0.05099176378
114	0.05038806656
115	0.04890948012
116	0.04801270344
117	0.04718317835
